Municipality_code;Oral_Health_Strategy_coverage;Primary_health_coverage_for_poor_residents_.last.year.;Vaccination_coverage_...;Low_birth_weight_...;Hospital_beds_per_10.000_residents;Family_Health_Strategy_teams_per_10.000_residents;Ultrasound_machines._per_10.000_live_births;cesarean_deliveries;Xray_machines_per_10.000_residents;Life_support_equipment_per_10.000_residents;Mammographies_per_100_women
1503408;99.74;86.73;98.14;6.33;19.9;3;63.3;63.92;1;4;1
1503457;0;33.79;111.18;7.24;6.6;1;33.7;26.43;0;1.4;0
1503507;45.17;49.1;79.29;4.97;5.1;1.6;38.2;43.02;0.3;1;2
1503606;8.1;35.2;103.59;5.74;27.6;1.5;34.6;32.25;0.6;2.2;0
1503705;16.61;28.89;75.8;4.18;10.3;0.8;28.5;29.53;0.6;0.4;1
1503754;8.32;7.23;111.18;9.14;17;0.7;0;15.14;0;2.1;0
1503804;30.86;26.83;104.26;5.64;25.7;1.2;19.8;47.38;0.6;1.9;1
1503903;48.55;42.22;80.14;8.78;11.5;1.1;9.4;15.39;1.1;0.6;0
1504000;41.45;36.05;91.45;4.94;8;1.2;19;34.98;0.4;1.2;0
1504059;47.44;61.88;77.27;3.51;26.5;1.8;45.7;39.79;0.4;1.4;1
1504109;43.7;76;79.71;2.8;0;2.5;0;44.86;0;0;0
1504208;1.59;15.26;75.9;8.28;9.8;0.1;28.1;34.7;0.6;1.3;3
1504307;46.91;91.78;85.35;6;11.6;3.2;23.1;30.48;0.4;1.1;0
1504406;61.58;53.55;96.66;6.76;7.5;1.9;27;38.38;0.8;1.5;1
1504422;37.52;44.48;101.3;10.21;10;1.4;20.4;54.19;0.4;1.1;4
1504455;29.14;25.34;92.37;4.27;15;1.1;20.3;35.16;1.1;1.1;5
1504505;58.62;100;76.12;4.09;6;2.4;31.4;3.46;0.4;2;0
1504604;55.88;48.59;81.78;5.39;10.1;2.2;19.3;19.27;0.4;0.7;0
1504703;25.15;26.24;76.55;8.96;7.1;0.7;30.9;25.41;0.7;0.7;1
1504802;16.19;14.08;86.16;7.63;13.2;0.5;41.2;21.86;0.7;2.9;3
1504901;33.86;29.44;78.84;8.17;7.6;0.9;19.9;37.65;0.6;0.9;0
1504950;28.68;37.4;93.19;8.53;12.4;1.5;23.7;36.49;0.5;0.5;0
1504976;68.56;99.36;72.05;8.23;8.9;3.4;0;25.11;0.7;0;2
1505007;81.64;100;83.92;5.16;0;3.7;0;51.61;0;0;2
1505031;48.13;55.8;61.13;6;14.3;1.6;25;40;0.4;1.2;0
1505064;0;21.52;79.82;5;8.7;0.6;7.2;56.55;0.3;1;0
1505106;0;18.58;72.59;5.37;11.6;0.4;9.8;14.84;0;0.2;0
1505205;25.75;33.59;73.42;6.62;10.5;1;27;14.05;0.3;0.3;0
1505304;5.88;30.67;75.63;6.68;10.2;0.6;53.5;19.72;0.2;1.4;1
1505403;87.12;100;78.37;7.51;14.7;3.7;30;45.05;1.2;1.8;0
1505437;48.53;42.2;86.43;4.73;18.3;1.8;36.4;38.18;1.1;0.4;0
1505486;8.22;28.6;89.83;7.17;7.3;0.8;0;36.75;1;1;0
1505494;0;41.09;88.84;7.01;26.8;2.7;63.7;21.02;2.7;1.3;0
1505502;28.35;30.82;85.51;6.82;8;1;14.3;39.41;0.6;1.7;0
1505536;4.52;17.67;73.15;7.68;5.6;0.5;10.4;45.36;0.5;2.1;0
1505551;100;100;90.42;5.97;36.5;6.6;223.9;65.67;3.3;3.3;6
1505601;100;75.8;74.74;8.26;0;3.8;91.7;50.46;0;1.3;1
1505635;26.26;68.49;102.59;6.32;9.5;2.4;0;35.63;0.8;0;0
1505650;0;0;92.98;3.67;12.1;0;40.8;23.27;0.8;1.3;0
1505700;26.09;34.03;102.59;11;3.8;1.2;0;35.28;0.4;0.4;1
1505809;28.19;42.91;100.82;5.22;3.6;1.2;9.2;14.47;0.4;0.6;0
1505908;12.28;42.72;89.76;6.85;14.4;1.5;14.9;24.7;0.3;0.6;0
1506005;0;56.45;97.47;4.87;6.5;0.3;14.7;14.9;0.3;1.7;0
1506104;62.77;100;99.94;7.02;0;4.9;0;33.92;0;0;0
1506112;100;89.16;91.28;8.82;0;3.2;0;44.71;0;0;0
1506138;15.43;31.31;72.04;6.76;26.5;0.9;18.4;62.45;1.2;3.7;6
1506161;98.93;86.02;57.32;8.47;16.4;2.8;0;77.4;1.1;0;11
1506187;43.33;50.24;79.42;5.77;29;1.7;11.8;30.04;0.9;2.1;1
1506195;9.57;8.32;90.41;3.24;6.7;0.2;23.1;21.99;0.2;0.7;1
1506203;79.24;68.91;78.16;5.95;19.2;2.4;45.7;55.03;0.8;1.9;1
1506302;95.18;82.76;87.1;4.79;9.9;2.5;0;26.76;0.5;2;0
1506351;93.62;81.41;79.58;10.84;0;2.3;31;59.75;0;0;1
1506401;0;0;90.39;6.85;18.4;0;137;12.33;0;0;0
1506500;62.08;75.58;80.44;6.07;21.9;2;10.6;59.21;1;1.2;1
1506559;93.66;100;96.62;6.78;0;4.1;0;38.74;0;0;1
1506583;58.22;84.37;90.13;4.91;9.3;2.9;44.6;40.63;1.2;1.7;5
1506609;44.61;77.58;68.41;6.29;22.6;2.6;22.5;58.2;0.9;0.4;1
1506708;18.81;27.26;84.24;4.4;17.5;0.9;16.9;37.9;0.7;2.5;1
1506807;9.84;26.62;79.28;6.47;13.8;0.9;18;26.15;0.5;1.6;3
1506906;100;100;96.44;8.33;0;4.9;83.3;39.17;0;0;0
1507003;77.08;89.37;81.99;7.73;25.9;2.6;46.8;37;0.7;2.2;1
1507102;40.92;53.37;80.28;5.43;11.8;1.8;45.2;28.51;0;1.2;1
1507151;62.55;81.58;65.16;7.06;17.3;2.6;47.1;20.94;0.9;1.7;2
1507201;37.07;100;84.63;8.36;10.4;3.7;16.1;37.94;0.3;0.7;1
1507300;15.4;31.25;101.34;5.46;9.2;0.8;125.9;37.25;0.2;1.6;0
1507409;100;100;75.33;7.88;0;4.6;41.5;73.86;0;0.7;3
1507458;55.14;83.91;68.8;5.95;16;2.7;19.2;43.95;0.4;1.6;0
1507466;0;100;78.88;4.94;0;3.8;0;40.74;1.9;0;3
1507474;100;90.45;77.69;5.28;28.6;2.9;26.4;41.16;1.5;1.5;0
1507508;86.81;100;77.32;5.8;12.2;3.8;48.3;24.64;0.8;0.8;2
1507607;30.79;46.86;83.99;8.46;28.7;1.2;28.2;51.6;0.8;1.9;1
1507706;15.77;27.43;83.8;7.1;19.2;0.9;40.6;26.98;1.3;0.9;0
1507755;61.51;53.49;81.27;6.58;19.8;2;131.6;38.16;2;5.9;2
1507805;47.8;62.35;70.31;6.13;11.5;2.3;0;19.54;0.8;0;2
1507904;30.72;26.72;78.95;6.38;21.3;0.9;0;36.22;0.4;1.7;0
1507953;4.74;8.25;79.49;6.63;6.2;0.1;7.1;31.88;0.3;1.4;0
1507961;100;100;75.26;5.41;0;3.9;54.1;62.16;0;0;2
1507979;64.67;56.24;67.26;8.06;12.4;1.8;73.3;34.43;0.6;1.2;0
1508001;35.49;30.86;106.71;5.38;9.4;0.4;23.7;32.28;0.4;0.9;0
1508035;61.99;75.47;67.41;7;5.5;2.5;0;25.04;0.4;2.5;0
1508050;20.14;17.51;79.77;9.77;12.4;0.6;0;21.86;0.6;2.4;0
1508084;49.84;54.17;78.86;3.73;20.5;1.8;74.6;35.97;2.1;5.6;3
1508100;3.59;43.75;78.56;6.82;23.4;1;32.1;46.11;0.9;1.4;0
