 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
210255 Campestre do Maranhão;7118;6911;14029
210260 Cândido Mendes;10166;9540;19706
210270 Cantanhede;10751;10709;21460
210275 Capinzal do Norte;5353;5371;10724
210280 Carolina;12287;11577;23864
210290 Carutapera;11997;11223;23220
210300 Caxias;77727;83408;161135
210310 Cedral;5441;5018;10459
210312 Central do Maranhão;4357;4092;8449
210315 Centro do Guilherme;6809;6211;13020
210317 Centro Novo do Maranhão;11143;9868;21011
210320 Chapadinha;38249;39437;77686
210325 Cidelândia;7268;7078;14346
210330 Codó;58308;61956;120264
210340 Coelho Neto;23696;24625;48321
210350 Colinas;19922;20348;40270
210355 Conceição do Lago-Açu;8090;7693;15783
210360 Coroatá;31536;32288;63824
210370 Cururupu;15577;15336;30913
210375 Davinópolis;6282;6371;12653
210380 Dom Pedro;10960;11927;22887
210390 Duque Bacelar;5586;5499;11085
210400 Esperantinópolis;8298;8732;17030
210405 Estreito;22025;18605;40630
210407 Feira Nova do Maranhão;4371;3950;8321
210408 Fernando Falcão;5272;4802;10074
210409 Formosa da Serra Negra;9674;8898;18572
210410 Fortaleza dos Nogueiras;6382;5989;12371
210420 Fortuna;7660;7580;15240
210430 Godofredo Viana;5953;5510;11463
210440 Gonçalves Dias;8642;8939;17581
210450 Governador Archer;5200;5395;10595
210455 Governador Edison Lobão;9107;8639;17746
210460 Governador Eugênio Barros;8311;8144;16455
210462 Governador Luiz Rocha;3919;3713;7632
210465 Governador Newton Bello;5007;5001;10008
210467 Governador Nunes Freire;12686;12432;25118
210470 Graça Aranha;3032;3109;6141
210480 Grajaú;34474;33154;67628
210490 Guimarães;5978;5849;11827
210500 Humberto de Campos;14575;13402;27977
210510 Icatu;13671;12780;26451
210515 Igarapé do Meio;7000;6777;13777
210520 Igarapé Grande;5649;5979;11628
210530 Imperatriz;122258;130864;253122
210535 Itaipava do Grajaú;8095;7512;15607
210540 Itapecuru Mirim;33151;33285;66436
210542 Itinga do Maranhão;12861;12582;25443
210545 Jatobá;4965;4859;9824
210547 Jenipapo dos Vieiras;8222;7903;16125
